sex,country,year,age,suicides_no,population,suicides/100k pop,HDI for year,gdp_for_year ($) ,gdp_per_capita ($)
female,Albania,1999,75+ years,4,42400,"9,43",,3414760915,1127
female,Albania,2000,15-24 years,6,263900,"2,27",656,3632043908,1299
female,Albania,2000,25-34 years,3,245800,"1,22",656,3632043908,1299
female,Albania,2000,35-54 years,5,332200,"1,51",656,3632043908,1299
female,Albania,2000,5-14 years,0,324700,0,656,3632043908,1299
female,Albania,2000,55-74 years,0,168000,0,656,3632043908,1299
female,Albania,2000,75+ years,2,37800,"5,29",656,3632043908,1299
female,Albania,2001,15-24 years,9,271359,"3,32",,4060758804,1451
female,Albania,2001,25-34 years,4,222771,"1,8",,4060758804,1451
female,Albania,2001,35-54 years,12,370191,"3,24",,4060758804,1451
female,Albania,2001,5-14 years,2,307356,"0,65",,4060758804,1451
female,Albania,2001,55-74 years,6,189799,"3,16",,4060758804,1451
female,Albania,2001,75+ years,2,47254,"4,23",,4060758804,1451
female,Albania,2002,15-24 years,14,275970,"5,07",,4435078648,1573
female,Albania,2002,25-34 years,7,223685,"3,13",,4435078648,1573
female,Albania,2002,35-54 years,15,375113,4,,4435078648,1573
female,Albania,2002,5-14 years,1,304850,"0,33",,4435078648,1573
female,Albania,2002,55-74 years,4,191712,"2,09",,4435078648,1573
female,Albania,2002,75+ years,1,47407,"2,11",,4435078648,1573
female,Albania,2003,15-24 years,14,283709,"4,93",,5746945913,2021
female,Albania,2003,25-34 years,9,222941,"4,04",,5746945913,2021
female,Albania,2003,35-54 years,13,381760,"3,41",,5746945913,2021
female,Albania,2003,5-14 years,0,298477,0,,5746945913,2021
female,Albania,2003,55-74 years,9,195699,"4,6",,5746945913,2021
female,Albania,2003,75+ years,6,49088,"12,22",,5746945913,2021
female,Albania,2004,15-24 years,20,292268,"6,84",,7314865176,2544
female,Albania,2004,25-34 years,11,222389,"4,95",,7314865176,2544
female,Albania,2004,35-54 years,17,391436,"4,34",,7314865176,2544
female,Albania,2004,5-14 years,3,286705,"1,05",,7314865176,2544
female,Albania,2004,55-74 years,3,203841,"1,47",,7314865176,2544
female,Albania,2004,75+ years,3,50970,"5,89",,7314865176,2544
female,Albania,2005,15-24 years,0,281922,0,695,8158548717,2931
female,Albania,2005,25-34 years,0,190745,0,695,8158548717,2931
female,Albania,2005,35-54 years,0,386513,0,695,8158548717,2931
female,Albania,2005,5-14 years,0,276559,0,695,8158548717,2931
female,Albania,2005,55-74 years,0,210998,0,695,8158548717,2931
female,Albania,2005,75+ years,0,53191,0,695,8158548717,2931
female,Albania,2006,15-24 years,0,283138,0,,8992642349,3235
female,Albania,2006,25-34 years,0,186391,0,,8992642349,3235
female,Albania,2006,35-54 years,0,388746,0,,8992642349,3235
female,Albania,2006,5-14 years,0,267316,0,,8992642349,3235
female,Albania,2006,55-74 years,0,215907,0,,8992642349,3235
female,Albania,2006,75+ years,0,56011,0,,8992642349,3235
female,Albania,2007,15-24 years,13,281080,"4,63",,10701011897,3863
female,Albania,2007,25-34 years,8,183629,"4,36",,10701011897,3863
female,Albania,2007,35-54 years,14,391811,"3,57",,10701011897,3863
female,Albania,2007,5-14 years,0,256808,0,,10701011897,3863
female,Albania,2007,55-74 years,9,221120,"4,07",,10701011897,3863
female,Albania,2007,75+ years,3,57404,"5,23",,10701011897,3863
female,Albania,2008,15-24 years,20,276073,"7,24",,12881352688,4672
female,Albania,2008,25-34 years,9,182663,"4,93",,12881352688,4672
female,Albania,2008,35-54 years,19,393832,"4,82",,12881352688,4672
female,Albania,2008,5-14 years,1,246288,"0,41",,12881352688,4672
female,Albania,2008,55-74 years,7,226448,"3,09",,12881352688,4672
female,Albania,2008,75+ years,5,59369,"8,42",,12881352688,4672
female,Albania,2009,15-24 years,0,270003,0,,12044212904,4387
female,Albania,2009,25-34 years,0,182712,0,,12044212904,4387
female,Albania,2009,35-54 years,0,394286,0,,12044212904,4387
female,Albania,2009,5-14 years,0,236174,0,,12044212904,4387
female,Albania,2009,55-74 years,0,233302,0,,12044212904,4387
female,Albania,2009,75+ years,0,61582,0,,12044212904,4387
female,Albania,2010,15-24 years,6,263581,"2,28",722,11926953259,4359
female,Albania,2010,25-34 years,6,183579,"3,27",722,11926953259,4359
female,Albania,2010,35-54 years,12,394593,"3,04",722,11926953259,4359
female,Albania,2010,5-14 years,2,223969,"0,89",722,11926953259,4359
female,Albania,2010,55-74 years,7,241491,"2,9",722,11926953259,4359
female,Albania,2010,75+ years,2,64415,"3,1",722,11926953259,4359
female,Albania,2011,15-24 years,,,,,,
female,Albania,2011,25-34 years,,,,,,
female,Albania,2011,35-54 years,,,,,,
female,Albania,2011,5-14 years,,,,,,
female,Albania,2011,55-74 years,,,,,,
female,Albania,2011,75+ years,,,,,,
female,Albania,2012,15-24 years,,,,,,
female,Albania,2012,25-34 years,,,,,,
female,Albania,2012,35-54 years,,,,,,
female,Albania,2012,5-14 years,,,,,,
female,Albania,2012,55-74 years,,,,,,
female,Albania,2012,75+ years,,,,,,
female,Albania,2013,15-24 years,,,,,,
female,Albania,2013,25-34 years,,,,,,
female,Albania,2013,35-54 years,,,,,,
female,Albania,2013,5-14 years,,,,,,
female,Albania,2013,55-74 years,,,,,,
female,Albania,2013,75+ years,,,,,,
female,Albania,2014,15-24 years,,,,,,
female,Albania,2014,25-34 years,,,,,,
female,Albania,2014,35-54 years,,,,,,
female,Albania,2014,5-14 years,,,,,,
female,Albania,2014,55-74 years,,,,,,
female,Albania,2014,75+ years,,,,,,
female,Albania,2015,15-24 years,,,,,,
female,Albania,2015,25-34 years,,,,,,
female,Albania,2015,35-54 years,,,,,,
female,Albania,2015,5-14 years,,,,,,
female,Albania,2015,55-74 years,,,,,,
female,Albania,2015,75+ years,,,,,,
female,Albania,2016,15-24 years,,,,,,
female,Albania,2016,25-34 years,,,,,,
female,Albania,2016,35-54 years,,,,,,
female,Albania,2016,5-14 years,,,,,,
female,Albania,2016,55-74 years,,,,,,
female,Albania,2016,75+ years,,,,,,
female,Antigua and Barbuda,1985,15-24 years,0,7709,0,,240923926,3850
female,Antigua and Barbuda,1985,25-34 years,0,6344,0,,240923926,3850
female,Antigua and Barbuda,1985,35-54 years,0,6173,0,,240923926,3850
female,Antigua and Barbuda,1985,5-14 years,0,7339,0,,240923926,3850
female,Antigua and Barbuda,1985,55-74 years,0,3778,0,,240923926,3850
female,Antigua and Barbuda,1985,75+ years,0,949,0,,240923926,3850
female,Antigua and Barbuda,1986,15-24 years,0,7668,0,,290440148,4740
female,Antigua and Barbuda,1986,25-34 years,0,6209,0,,290440148,4740
female,Antigua and Barbuda,1986,35-54 years,0,6101,0,,290440148,4740
female,Antigua and Barbuda,1986,5-14 years,0,6907,0,,290440148,4740
female,Antigua and Barbuda,1986,55-74 years,0,3764,0,,290440148,4740
female,Antigua and Barbuda,1986,75+ years,0,1014,0,,290440148,4740
female,Antigua and Barbuda,1987,15-24 years,0,7583,0,,337174852,5595
female,Antigua and Barbuda,1987,25-34 years,0,6101,0,,337174852,5595
female,Antigua and Barbuda,1987,35-54 years,0,6059,0,,337174852,5595
female,Antigua and Barbuda,1987,5-14 years,0,6623,0,,337174852,5595
female,Antigua and Barbuda,1987,55-74 years,0,3738,0,,337174852,5595
female,Antigua and Barbuda,1987,75+ years,0,1081,0,,337174852,5595
female,Antigua and Barbuda,1988,15-24 years,0,7413,0,,398637741,6693
female,Antigua and Barbuda,1988,25-34 years,0,6041,0,,398637741,6693
female,Antigua and Barbuda,1988,35-54 years,0,6021,0,,398637741,6693
female,Antigua and Barbuda,1988,5-14 years,0,6527,0,,398637741,6693
female,Antigua and Barbuda,1988,55-74 years,0,3708,0,,398637741,6693
female,Antigua and Barbuda,1988,75+ years,0,1141,0,,398637741,6693
female,Antigua and Barbuda,1989,15-24 years,0,7152,0,,438794778,7407
female,Antigua and Barbuda,1989,25-34 years,0,6059,0,,438794778,7407
female,Antigua and Barbuda,1989,35-54 years,0,5969,0,,438794778,7407
female,Antigua and Barbuda,1989,5-14 years,0,6621,0,,438794778,7407
female,Antigua and Barbuda,1989,55-74 years,0,3696,0,,438794778,7407
female,Antigua and Barbuda,1989,75+ years,0,1195,0,,438794778,7407
female,Antigua and Barbuda,1990,15-24 years,0,6827,0,,459469074,7744
female,Antigua and Barbuda,1990,25-34 years,0,6172,0,,459469074,7744
female,Antigua and Barbuda,1990,35-54 years,0,5895,0,,459469074,7744
female,Antigua and Barbuda,1990,5-14 years,0,6877,0,,459469074,7744
female,Antigua and Barbuda,1990,55-74 years,0,3706,0,,459469074,7744
female,Antigua and Barbuda,1990,75+ years,0,1252,0,,459469074,7744
female,Antigua and Barbuda,1991,15-24 years,0,6595,0,,481706333,7976
female,Antigua and Barbuda,1991,25-34 years,0,6396,0,,481706333,7976
female,Antigua and Barbuda,1991,35-54 years,0,6198,0,,481706333,7976
female,Antigua and Barbuda,1991,5-14 years,0,7089,0,,481706333,7976
female,Antigua and Barbuda,1991,55-74 years,0,3665,0,,481706333,7976
female,Antigua and Barbuda,1991,75+ years,0,1293,0,,481706333,7976
female,Antigua and Barbuda,1992,15-24 years,0,6369,0,,499281148,8087
female,Antigua and Barbuda,1992,25-34 years,0,6650,0,,499281148,8087
female,Antigua and Barbuda,1992,35-54 years,0,6534,0,,499281148,8087
female,Antigua and Barbuda,1992,5-14 years,0,7311,0,,499281148,8087
female,Antigua and Barbuda,1992,55-74 years,0,3648,0,,499281148,8087
female,Antigua and Barbuda,1992,75+ years,0,1339,0,,499281148,8087
female,Antigua and Barbuda,1993,15-24 years,0,6182,0,,535172778,8453
female,Antigua and Barbuda,1993,25-34 years,0,6914,0,,535172778,8453
female,Antigua and Barbuda,1993,35-54 years,0,6917,0,,535172778,8453
female,Antigua and Barbuda,1993,5-14 years,0,7529,0,,535172778,8453
female,Antigua and Barbuda,1993,55-74 years,0,3662,0,,535172778,8453
female,Antigua and Barbuda,1993,75+ years,0,1386,0,,535172778,8453
female,Antigua and Barbuda,1994,15-24 years,0,6083,0,,589429593,9062
female,Antigua and Barbuda,1994,25-34 years,0,7151,0,,589429593,9062
female,Antigua and Barbuda,1994,35-54 years,0,7357,0,,589429593,9062
female,Antigua and Barbuda,1994,5-14 years,0,7722,0,,589429593,9062
female,Antigua and Barbuda,1994,55-74 years,0,3715,0,,589429593,9062
female,Antigua and Barbuda,1994,75+ years,0,1437,0,,589429593,9062
female,Antigua and Barbuda,1995,15-24 years,0,6099,0,,577280741,8636
female,Antigua and Barbuda,1995,25-34 years,0,7333,0,,577280741,8636
female,Antigua and Barbuda,1995,35-54 years,0,7851,0,,577280741,8636
female,Antigua and Barbuda,1995,5-14 years,0,7885,0,,577280741,8636
female,Antigua and Barbuda,1995,55-74 years,0,3808,0,,577280741,8636
female,Antigua and Barbuda,1995,75+ years,0,1488,0,,577280741,8636
female,Antigua and Barbuda,1996,15-24 years,,,,,,
female,Antigua and Barbuda,1996,25-34 years,,,,,,
female,Antigua and Barbuda,1996,35-54 years,,,,,,
female,Antigua and Barbuda,1996,5-14 years,,,,,,
female,Antigua and Barbuda,1996,55-74 years,,,,,,
female,Antigua and Barbuda,1996,75+ years,,,,,,
female,Antigua and Barbuda,1997,15-24 years,,,,,,
female,Antigua and Barbuda,1997,25-34 years,,,,,,
female,Antigua and Barbuda,1997,35-54 years,,,,,,
female,Antigua and Barbuda,1997,5-14 years,,,,,,
female,Antigua and Barbuda,1997,55-74 years,,,,,,
female,Antigua and Barbuda,1997,75+ years,,,,,,
female,Antigua and Barbuda,1998,15-24 years,0,6529,0,,727860593,10078
female,Antigua and Barbuda,1998,25-34 years,0,8332,0,,727860593,10078
female,Antigua and Barbuda,1998,35-54 years,0,9615,0,,727860593,10078
female,Antigua and Barbuda,1998,5-14 years,0,8183,0,,727860593,10078
female,Antigua and Barbuda,1998,55-74 years,0,3921,0,,727860593,10078
female,Antigua and Barbuda,1998,75+ years,0,1476,0,,727860593,10078
female,Antigua and Barbuda,1999,15-24 years,0,6589,0,,766198926,10378
female,Antigua and Barbuda,1999,25-34 years,0,8526,0,,766198926,10378
female,Antigua and Barbuda,1999,35-54 years,0,10311,0,,766198926,10378
female,Antigua and Barbuda,1999,5-14 years,0,8314,0,,766198926,10378
female,Antigua and Barbuda,1999,55-74 years,0,3968,0,,766198926,10378
female,Antigua and Barbuda,1999,75+ years,0,1451,0,,766198926,10378
female,Antigua and Barbuda,2000,15-24 years,0,6616,0,,830158778,11021
female,Antigua and Barbuda,2000,25-34 years,0,8595,0,,830158778,11021
female,Antigua and Barbuda,2000,35-54 years,0,11040,0,,830158778,11021
female,Antigua and Barbuda,2000,5-14 years,0,8439,0,,830158778,11021
female,Antigua and Barbuda,2000,55-74 years,0,3986,0,,830158778,11021
female,Antigua and Barbuda,2000,75+ years,0,1413,0,,830158778,11021
female,Antigua and Barbuda,2001,15-24 years,0,6902,0,,800740259,10468
female,Antigua and Barbuda,2001,25-34 years,0,8425,0,,800740259,10468
female,Antigua and Barbuda,2001,35-54 years,0,11402,0,,800740259,10468
female,Antigua and Barbuda,2001,5-14 years,0,8428,0,,800740259,10468
female,Antigua and Barbuda,2001,55-74 years,0,4037,0,,800740259,10468
female,Antigua and Barbuda,2001,75+ years,0,1487,0,,800740259,10468
female,Antigua and Barbuda,2002,15-24 years,0,7196,0,,814615333,10499
female,Antigua and Barbuda,2002,25-34 years,0,8155,0,,814615333,10499
female,Antigua and Barbuda,2002,35-54 years,0,11760,0,,814615333,10499
female,Antigua and Barbuda,2002,5-14 years,0,8408,0,,814615333,10499
female,Antigua and Barbuda,2002,55-74 years,0,4050,0,,814615333,10499
female,Antigua and Barbuda,2002,75+ years,0,1547,0,,814615333,10499
female,Antigua and Barbuda,2003,15-24 years,0,7454,0,,855643111,10878
female,Antigua and Barbuda,2003,25-34 years,0,7831,0,,855643111,10878
female,Antigua and Barbuda,2003,35-54 years,0,12129,0,,855643111,10878
female,Antigua and Barbuda,2003,5-14 years,0,8423,0,,855643111,10878
female,Antigua and Barbuda,2003,55-74 years,0,4054,0,,855643111,10878
female,Antigua and Barbuda,2003,75+ years,0,1583,0,,855643111,10878
female,Antigua and Barbuda,2004,15-24 years,0,7648,0,,919577148,11535
female,Antigua and Barbuda,2004,25-34 years,0,7531,0,,919577148,11535
female,Antigua and Barbuda,2004,35-54 years,0,12492,0,,919577148,11535
female,Antigua and Barbuda,2004,5-14 years,0,8488,0,,919577148,11535
female,Antigua and Barbuda,2004,55-74 years,0,4088,0,,919577148,11535
female,Antigua and Barbuda,2004,75+ years,0,1590,0,,919577148,11535
female,Antigua and Barbuda,2005,15-24 years,0,7780,0,,1022191296,12649
female,Antigua and Barbuda,2005,25-34 years,0,7327,0,,1022191296,12649
female,Antigua and Barbuda,2005,35-54 years,0,12835,0,,1022191296,12649
female,Antigua and Barbuda,2005,5-14 years,0,8584,0,,1022191296,12649
female,Antigua and Barbuda,2005,55-74 years,0,4157,0,,1022191296,12649
female,Antigua and Barbuda,2005,75+ years,0,1575,0,,1022191296,12649
female,Antigua and Barbuda,2006,15-24 years,0,7902,0,,1157005444,14114
female,Antigua and Barbuda,2006,25-34 years,0,7098,0,,1157005444,14114
female,Antigua and Barbuda,2006,35-54 years,0,13374,0,,1157005444,14114
female,Antigua and Barbuda,2006,5-14 years,0,8571,0,,1157005444,14114
female,Antigua and Barbuda,2006,55-74 years,0,4256,0,,1157005444,14114
female,Antigua and Barbuda,2006,75+ years,0,1573,0,,1157005444,14114
female,Antigua and Barbuda,2007,15-24 years,0,8013,0,,1311401333,15775
female,Antigua and Barbuda,2007,25-34 years,0,6962,0,,1311401333,15775
female,Antigua and Barbuda,2007,35-54 years,0,13860,0,,1311401333,15775
female,Antigua and Barbuda,2007,5-14 years,0,8555,0,,1311401333,15775
female,Antigua and Barbuda,2007,55-74 years,0,4400,0,,1311401333,15775
female,Antigua and Barbuda,2007,75+ years,0,1568,0,,1311401333,15775
female,Antigua and Barbuda,2008,15-24 years,0,8108,0,,1368431037,16238
female,Antigua and Barbuda,2008,25-34 years,0,6910,0,,1368431037,16238
female,Antigua and Barbuda,2008,35-54 years,0,14278,0,,1368431037,16238
female,Antigua and Barbuda,2008,5-14 years,0,8537,0,,1368431037,16238
female,Antigua and Barbuda,2008,55-74 years,0,4587,0,,1368431037,16238
female,Antigua and Barbuda,2008,75+ years,0,1567,0,,1368431037,16238
female,Antigua and Barbuda,2009,15-24 years,0,8199,0,,1224253000,14335
female,Antigua and Barbuda,2009,25-34 years,0,6917,0,,1224253000,14335
female,Antigua and Barbuda,2009,35-54 years,0,14629,0,,1224253000,14335
female,Antigua and Barbuda,2009,5-14 years,0,8514,0,,1224253000,14335
female,Antigua and Barbuda,2009,55-74 years,0,4793,0,,1224253000,14335
female,Antigua and Barbuda,2009,75+ years,0,1571,0,,1224253000,14335
female,Antigua and Barbuda,2010,15-24 years,,,,,,
female,Antigua and Barbuda,2010,25-34 years,,,,,,
female,Antigua and Barbuda,2010,35-54 years,,,,,,
female,Antigua and Barbuda,2010,5-14 years,,,,,,
female,Antigua and Barbuda,2010,55-74 years,,,,,,
female,Antigua and Barbuda,2010,75+ years,,,,,,
female,Antigua and Barbuda,2011,15-24 years,,,,,,
female,Antigua and Barbuda,2011,25-34 years,,,,,,
female,Antigua and Barbuda,2011,35-54 years,,,,,,
female,Antigua and Barbuda,2011,5-14 years,,,,,,
female,Antigua and Barbuda,2011,55-74 years,,,,,,
female,Antigua and Barbuda,2011,75+ years,,,,,,
female,Antigua and Barbuda,2012,15-24 years,0,8435,0,781,1211411704,13657
female,Antigua and Barbuda,2012,25-34 years,0,7215,0,781,1211411704,13657
female,Antigua and Barbuda,2012,35-54 years,0,15193,0,781,1211411704,13657
female,Antigua and Barbuda,2012,5-14 years,0,8401,0,781,1211411704,13657
female,Antigua and Barbuda,2012,55-74 years,0,5512,0,781,1211411704,13657
female,Antigua and Barbuda,2012,75+ years,0,1625,0,781,1211411704,13657
female,Antigua and Barbuda,2013,15-24 years,0,8494,0,781,1192925407,13287
female,Antigua and Barbuda,2013,25-34 years,0,7397,0,781,1192925407,13287
female,Antigua and Barbuda,2013,35-54 years,0,15236,0,781,1192925407,13287
female,Antigua and Barbuda,2013,5-14 years,0,8353,0,781,1192925407,13287
female,Antigua and Barbuda,2013,55-74 years,0,5787,0,781,1192925407,13287
female,Antigua and Barbuda,2013,75+ years,0,1652,0,781,1192925407,13287
female,Antigua and Barbuda,2014,15-24 years,0,8537,0,783,1280133333,14093
female,Antigua and Barbuda,2014,25-34 years,0,7578,0,783,1280133333,14093
female,Antigua and Barbuda,2014,35-54 years,0,15273,0,783,1280133333,14093
female,Antigua and Barbuda,2014,5-14 years,0,8296,0,783,1280133333,14093
female,Antigua and Barbuda,2014,55-74 years,0,6085,0,783,1280133333,14093
female,Antigua and Barbuda,2014,75+ years,0,1686,0,783,1280133333,14093
female,Antigua and Barbuda,2015,15-24 years,0,8561,0,,1364863037,14853
female,Antigua and Barbuda,2015,25-34 years,0,7740,0,,1364863037,14853
female,Antigua and Barbuda,2015,35-54 years,0,15323,0,,1364863037,14853
female,Antigua and Barbuda,2015,5-14 years,0,8239,0,,1364863037,14853
female,Antigua and Barbuda,2015,55-74 years,1,6403,"15,62",,1364863037,14853
female,Antigua and Barbuda,2015,75+ years,0,1724,0,,1364863037,14853
female,Antigua and Barbuda,2016,15-24 years,,,,,,
female,Antigua and Barbuda,2016,25-34 years,,,,,,
female,Antigua and Barbuda,2016,35-54 years,,,,,,
female,Antigua and Barbuda,2016,5-14 years,,,,,,
female,Antigua and Barbuda,2016,55-74 years,,,,,,
female,Antigua and Barbuda,2016,75+ years,,,,,,
female,Argentina,1985,15-24 years,69,2354200,"2,93",694,88416668900,3264
female,Argentina,1985,25-34 years,65,2185200,"2,97",694,88416668900,3264
female,Argentina,1985,35-54 years,142,3355300,"4,23",694,88416668900,3264
female,Argentina,1985,5-14 years,11,2955200,"0,37",694,88416668900,3264
female,Argentina,1985,55-74 years,210,2304000,"9,11",694,88416668900,3264
female,Argentina,1985,75+ years,41,537000,"7,64",694,88416668900,3264
female,Argentina,1986,15-24 years,101,2367600,"4,27",,110934442763,4072
female,Argentina,1986,25-34 years,96,2197600,"4,37",,110934442763,4072
female,Argentina,1986,35-54 years,188,3374300,"5,57",,110934442763,4072
female,Argentina,1986,5-14 years,7,2971900,"0,24",,110934442763,4072
female,Argentina,1986,55-74 years,201,2317100,"8,67",,110934442763,4072
female,Argentina,1986,75+ years,48,540200,"8,89",,110934442763,4072
female,Argentina,1987,15-24 years,93,2398400,"3,88",,111106191358,4026
female,Argentina,1987,25-34 years,89,2226200,4,,111106191358,4026
female,Argentina,1987,35-54 years,209,3418300,"6,11",,111106191358,4026
female,Argentina,1987,5-14 years,14,3010700,"0,47",,111106191358,4026
female,Argentina,1987,55-74 years,224,2347300,"9,54",,111106191358,4026
female,Argentina,1987,75+ years,57,547000,"10,42",,111106191358,4026
female,Argentina,1988,15-24 years,101,2459000,"4,11",,126206817196,4458
female,Argentina,1988,25-34 years,61,2228000,"2,74",,126206817196,4458
female,Argentina,1988,35-54 years,198,3508000,"5,64",,126206817196,4458
female,Argentina,1988,5-14 years,11,3115000,"0,35",,126206817196,4458
female,Argentina,1988,55-74 years,233,2412000,"9,66",,126206817196,4458
female,Argentina,1988,75+ years,61,602000,"10,13",,126206817196,4458
female,Argentina,1989,15-24 years,80,2509000,"3,19",,76636898036,2670
female,Argentina,1989,25-34 years,83,2240000,"3,71",,76636898036,2670
female,Argentina,1989,35-54 years,166,3563000,"4,66",,76636898036,2670
female,Argentina,1989,5-14 years,11,3149000,"0,35",,76636898036,2670
female,Argentina,1989,55-74 years,201,2446000,"8,22",,76636898036,2670
female,Argentina,1989,75+ years,65,622000,"10,45",,76636898036,2670
female,Argentina,1990,15-24 years,91,2568000,"3,54",705,141352368715,4859
female,Argentina,1990,25-34 years,76,2251000,"3,38",705,141352368715,4859
female,Argentina,1990,35-54 years,163,3622000,"4,5",705,141352368715,4859
female,Argentina,1990,5-14 years,14,3171000,"0,44",705,141352368715,4859
female,Argentina,1990,55-74 years,190,2477000,"7,67",705,141352368715,4859
female,Argentina,1990,75+ years,61,643000,"9,49",705,141352368715,4859
female,Argentina,1991,15-24 years,61,2689000,"2,27",,189719984268,6404
female,Argentina,1991,25-34 years,77,2310000,"3,33",,189719984268,6404
female,Argentina,1991,35-54 years,133,3691000,"3,6",,189719984268,6404
