,sex,country,year,age,generation,suicides_no,population,suicides/100k pop,HDI for year,gdp_for_year ($) ,gdp_per_capita ($)
52,female,Albania,1993,55-74 years,Silent,2.0,169500.0,1.18,,1228071038.0,437.0
53,female,Albania,1993,75+ years,G.I. Generation,0.0,39300.0,0.0,,1228071038.0,437.0
54,female,Albania,1994,15-24 years,Generation X,6.0,282600.0,2.12,,1985673798.0,697.0
55,female,Albania,1994,25-34 years,Boomers,4.0,261100.0,1.53,,1985673798.0,697.0
56,female,Albania,1994,35-54 years,Boomers,2.0,342500.0,0.58,,1985673798.0,697.0
57,female,Albania,1994,5-14 years,Millenials,0.0,344400.0,0.0,,1985673798.0,697.0
58,female,Albania,1994,55-74 years,Silent,1.0,174600.0,0.57,,1985673798.0,697.0
59,female,Albania,1994,75+ years,G.I. Generation,2.0,39900.0,5.01,,1985673798.0,697.0
60,female,Albania,1995,15-24 years,Generation X,13.0,283500.0,4.59,619.0,2424499009.0,835.0
61,female,Albania,1995,25-34 years,Generation X,7.0,264000.0,2.65,619.0,2424499009.0,835.0
62,female,Albania,1995,35-54 years,Boomers,8.0,356400.0,2.24,619.0,2424499009.0,835.0
63,female,Albania,1995,5-14 years,Millenials,2.0,348700.0,0.57,619.0,2424499009.0,835.0
64,female,Albania,1995,55-74 years,Silent,2.0,180400.0,1.11,619.0,2424499009.0,835.0
65,female,Albania,1995,75+ years,G.I. Generation,2.0,40800.0,4.9,619.0,2424499009.0,835.0
66,female,Albania,1996,15-24 years,Generation X,16.0,287700.0,5.56,,3314898292.0,1127.0
67,female,Albania,1996,25-34 years,Generation X,10.0,267900.0,3.73,,3314898292.0,1127.0
68,female,Albania,1996,35-54 years,Boomers,9.0,362000.0,2.49,,3314898292.0,1127.0
69,female,Albania,1996,5-14 years,Millenials,1.0,354100.0,0.28,,3314898292.0,1127.0
70,female,Albania,1996,55-74 years,Silent,1.0,183100.0,0.55,,3314898292.0,1127.0
71,female,Albania,1996,75+ years,G.I. Generation,2.0,41200.0,4.85,,3314898292.0,1127.0
72,female,Albania,1997,15-24 years,Generation X,21.0,294000.0,7.14,,2359903108.0,793.0
73,female,Albania,1997,25-34 years,Generation X,16.0,273900.0,5.84,,2359903108.0,793.0
74,female,Albania,1997,35-54 years,Boomers,7.0,370100.0,1.89,,2359903108.0,793.0
75,female,Albania,1997,5-14 years,Millenials,6.0,361800.0,1.66,,2359903108.0,793.0
76,female,Albania,1997,55-74 years,Silent,0.0,187000.0,0.0,,2359903108.0,793.0
77,female,Albania,1997,75+ years,G.I. Generation,2.0,42100.0,4.75,,2359903108.0,793.0
78,female,Albania,1998,15-24 years,Generation X,32.0,295600.0,10.83,,2707123772.0,899.0
79,female,Albania,1998,25-34 years,Generation X,10.0,275300.0,3.63,,2707123772.0,899.0
80,female,Albania,1998,35-54 years,Boomers,9.0,372100.0,2.42,,2707123772.0,899.0
81,female,Albania,1998,5-14 years,Millenials,1.0,363800.0,0.27,,2707123772.0,899.0
82,female,Albania,1998,55-74 years,Silent,6.0,188200.0,3.19,,2707123772.0,899.0
83,female,Albania,1998,75+ years,G.I. Generation,0.0,42300.0,0.0,,2707123772.0,899.0
84,female,Albania,1999,15-24 years,Generation X,19.0,296800.0,6.4,,3414760915.0,1127.0
85,female,Albania,1999,25-34 years,Generation X,13.0,276500.0,4.7,,3414760915.0,1127.0
86,female,Albania,1999,35-54 years,Boomers,5.0,373600.0,1.34,,3414760915.0,1127.0
87,female,Albania,1999,5-14 years,Millenials,1.0,365200.0,0.27,,3414760915.0,1127.0
88,female,Albania,1999,55-74 years,Silent,6.0,188800.0,3.18,,3414760915.0,1127.0
89,female,Albania,1999,75+ years,G.I. Generation,4.0,42400.0,9.43,,3414760915.0,1127.0
90,female,Albania,2000,15-24 years,Generation X,6.0,263900.0,2.27,656.0,3632043908.0,1299.0
91,female,Albania,2000,25-34 years,Generation X,3.0,245800.0,1.22,656.0,3632043908.0,1299.0
92,female,Albania,2000,35-54 years,Boomers,5.0,332200.0,1.51,656.0,3632043908.0,1299.0
93,female,Albania,2000,5-14 years,Millenials,0.0,324700.0,0.0,656.0,3632043908.0,1299.0
94,female,Albania,2000,55-74 years,Silent,0.0,168000.0,0.0,656.0,3632043908.0,1299.0
95,female,Albania,2000,75+ years,G.I. Generation,2.0,37800.0,5.29,656.0,3632043908.0,1299.0
96,female,Albania,2001,15-24 years,Millenials,9.0,271359.0,3.32,,4060758804.0,1451.0
97,female,Albania,2001,25-34 years,Generation X,4.0,222771.0,1.8,,4060758804.0,1451.0
98,female,Albania,2001,35-54 years,Boomers,12.0,370191.0,3.24,,4060758804.0,1451.0
99,female,Albania,2001,5-14 years,Millenials,2.0,307356.0,0.65,,4060758804.0,1451.0
100,female,Albania,2001,55-74 years,Silent,6.0,189799.0,3.16,,4060758804.0,1451.0
101,female,Albania,2001,75+ years,Silent,2.0,47254.0,4.23,,4060758804.0,1451.0
102,female,Albania,2002,15-24 years,Millenials,14.0,275970.0,5.07,,4435078648.0,1573.0
103,female,Albania,2002,25-34 years,Generation X,7.0,223685.0,3.13,,4435078648.0,1573.0
104,female,Albania,2002,35-54 years,Boomers,15.0,375113.0,4.0,,4435078648.0,1573.0
105,female,Albania,2002,5-14 years,Millenials,1.0,304850.0,0.33,,4435078648.0,1573.0
106,female,Albania,2002,55-74 years,Silent,4.0,191712.0,2.09,,4435078648.0,1573.0
107,female,Albania,2002,75+ years,Silent,1.0,47407.0,2.11,,4435078648.0,1573.0
108,female,Albania,2003,15-24 years,Millenials,14.0,283709.0,4.93,,5746945913.0,2021.0
109,female,Albania,2003,25-34 years,Generation X,9.0,222941.0,4.04,,5746945913.0,2021.0
110,female,Albania,2003,35-54 years,Boomers,13.0,381760.0,3.41,,5746945913.0,2021.0
111,female,Albania,2003,5-14 years,Millenials,0.0,298477.0,0.0,,5746945913.0,2021.0
112,female,Albania,2003,55-74 years,Silent,9.0,195699.0,4.6,,5746945913.0,2021.0
113,female,Albania,2003,75+ years,Silent,6.0,49088.0,12.22,,5746945913.0,2021.0
114,female,Albania,2004,15-24 years,Millenials,20.0,292268.0,6.84,,7314865176.0,2544.0
115,female,Albania,2004,25-34 years,Generation X,11.0,222389.0,4.95,,7314865176.0,2544.0
116,female,Albania,2004,35-54 years,Boomers,17.0,391436.0,4.34,,7314865176.0,2544.0
117,female,Albania,2004,5-14 years,Millenials,3.0,286705.0,1.05,,7314865176.0,2544.0
118,female,Albania,2004,55-74 years,Silent,3.0,203841.0,1.47,,7314865176.0,2544.0
119,female,Albania,2004,75+ years,Silent,3.0,50970.0,5.89,,7314865176.0,2544.0
120,female,Albania,2005,15-24 years,Millenials,0.0,281922.0,0.0,695.0,8158548717.0,2931.0
121,female,Albania,2005,25-34 years,Generation X,0.0,190745.0,0.0,695.0,8158548717.0,2931.0
122,female,Albania,2005,35-54 years,Boomers,0.0,386513.0,0.0,695.0,8158548717.0,2931.0
123,female,Albania,2005,5-14 years,Millenials,0.0,276559.0,0.0,695.0,8158548717.0,2931.0
124,female,Albania,2005,55-74 years,Silent,0.0,210998.0,0.0,695.0,8158548717.0,2931.0
125,female,Albania,2005,75+ years,Silent,0.0,53191.0,0.0,695.0,8158548717.0,2931.0
126,female,Albania,2006,15-24 years,Millenials,0.0,283138.0,0.0,,8992642349.0,3235.0
127,female,Albania,2006,25-34 years,Generation X,0.0,186391.0,0.0,,8992642349.0,3235.0
128,female,Albania,2006,35-54 years,Boomers,0.0,388746.0,0.0,,8992642349.0,3235.0
129,female,Albania,2006,5-14 years,Millenials,0.0,267316.0,0.0,,8992642349.0,3235.0
130,female,Albania,2006,55-74 years,Silent,0.0,215907.0,0.0,,8992642349.0,3235.0
131,female,Albania,2006,75+ years,Silent,0.0,56011.0,0.0,,8992642349.0,3235.0
132,female,Albania,2007,15-24 years,Millenials,13.0,281080.0,4.63,,10701011897.0,3863.0
133,female,Albania,2007,25-34 years,Generation X,8.0,183629.0,4.36,,10701011897.0,3863.0
134,female,Albania,2007,35-54 years,Boomers,14.0,391811.0,3.57,,10701011897.0,3863.0
135,female,Albania,2007,5-14 years,Generation Z,0.0,256808.0,0.0,,10701011897.0,3863.0
136,female,Albania,2007,55-74 years,Silent,9.0,221120.0,4.07,,10701011897.0,3863.0
137,female,Albania,2007,75+ years,Silent,3.0,57404.0,5.23,,10701011897.0,3863.0
138,female,Albania,2008,15-24 years,Millenials,20.0,276073.0,7.24,,12881352688.0,4672.0
139,female,Albania,2008,25-34 years,Generation X,9.0,182663.0,4.93,,12881352688.0,4672.0
140,female,Albania,2008,35-54 years,Boomers,19.0,393832.0,4.82,,12881352688.0,4672.0
141,female,Albania,2008,5-14 years,Generation Z,1.0,246288.0,0.41,,12881352688.0,4672.0
142,female,Albania,2008,55-74 years,Silent,7.0,226448.0,3.09,,12881352688.0,4672.0
143,female,Albania,2008,75+ years,Silent,5.0,59369.0,8.42,,12881352688.0,4672.0
144,female,Albania,2009,15-24 years,Millenials,0.0,270003.0,0.0,,12044212904.0,4387.0
145,female,Albania,2009,25-34 years,Generation X,0.0,182712.0,0.0,,12044212904.0,4387.0
146,female,Albania,2009,35-54 years,Boomers,0.0,394286.0,0.0,,12044212904.0,4387.0
147,female,Albania,2009,5-14 years,Generation Z,0.0,236174.0,0.0,,12044212904.0,4387.0
148,female,Albania,2009,55-74 years,Silent,0.0,233302.0,0.0,,12044212904.0,4387.0
149,female,Albania,2009,75+ years,Silent,0.0,61582.0,0.0,,12044212904.0,4387.0
150,female,Albania,2010,15-24 years,Millenials,6.0,263581.0,2.28,722.0,11926953259.0,4359.0
151,female,Albania,2010,25-34 years,Generation X,6.0,183579.0,3.27,722.0,11926953259.0,4359.0
152,female,Albania,2010,35-54 years,Generation X,12.0,394593.0,3.04,722.0,11926953259.0,4359.0
153,female,Albania,2010,5-14 years,Generation Z,2.0,223969.0,0.89,722.0,11926953259.0,4359.0
154,female,Albania,2010,55-74 years,Silent,7.0,241491.0,2.9,722.0,11926953259.0,4359.0
155,female,Albania,2010,75+ years,Silent,2.0,64415.0,3.1,722.0,11926953259.0,4359.0
156,female,Albania,2011,15-24 years,,,,,,,
157,female,Albania,2011,25-34 years,,,,,,,
158,female,Albania,2011,35-54 years,,,,,,,
159,female,Albania,2011,5-14 years,,,,,,,
160,female,Albania,2011,55-74 years,,,,,,,
161,female,Albania,2011,75+ years,,,,,,,
162,female,Albania,2012,15-24 years,,,,,,,
163,female,Albania,2012,25-34 years,,,,,,,
164,female,Albania,2012,35-54 years,,,,,,,
165,female,Albania,2012,5-14 years,,,,,,,
166,female,Albania,2012,55-74 years,,,,,,,
167,female,Albania,2012,75+ years,,,,,,,
168,female,Albania,2013,15-24 years,,,,,,,
169,female,Albania,2013,25-34 years,,,,,,,
170,female,Albania,2013,35-54 years,,,,,,,
171,female,Albania,2013,5-14 years,,,,,,,
172,female,Albania,2013,55-74 years,,,,,,,
173,female,Albania,2013,75+ years,,,,,,,
174,female,Albania,2014,15-24 years,,,,,,,
175,female,Albania,2014,25-34 years,,,,,,,
176,female,Albania,2014,35-54 years,,,,,,,
177,female,Albania,2014,5-14 years,,,,,,,
178,female,Albania,2014,55-74 years,,,,,,,
179,female,Albania,2014,75+ years,,,,,,,
180,female,Albania,2015,15-24 years,,,,,,,
181,female,Albania,2015,25-34 years,,,,,,,
182,female,Albania,2015,35-54 years,,,,,,,
183,female,Albania,2015,5-14 years,,,,,,,
184,female,Albania,2015,55-74 years,,,,,,,
185,female,Albania,2015,75+ years,,,,,,,
186,female,Albania,2016,15-24 years,,,,,,,
187,female,Albania,2016,25-34 years,,,,,,,
188,female,Albania,2016,35-54 years,,,,,,,
189,female,Albania,2016,5-14 years,,,,,,,
190,female,Albania,2016,55-74 years,,,,,,,
191,female,Albania,2016,75+ years,,,,,,,
1152,female,Austria,1985,15-24 years,Generation X,50.0,633592.0,7.89,764.0,69386774475.0,9759.0
1153,female,Austria,1985,25-34 years,Boomers,56.0,544765.0,10.28,764.0,69386774475.0,9759.0
1154,female,Austria,1985,35-54 years,Silent,186.0,936799.0,19.85,764.0,69386774475.0,9759.0
1155,female,Austria,1985,5-14 years,Generation X,2.0,453859.0,0.44,764.0,69386774475.0,9759.0
1156,female,Austria,1985,55-74 years,G.I. Generation,220.0,842978.0,26.1,764.0,69386774475.0,9759.0
1157,female,Austria,1985,75+ years,G.I. Generation,110.0,339223.0,32.43,764.0,69386774475.0,9759.0
1158,female,Austria,1986,15-24 years,Generation X,60.0,625356.0,9.59,,99036165210.0,13911.0
1159,female,Austria,1986,25-34 years,Boomers,80.0,558561.0,14.32,,99036165210.0,13911.0
1160,female,Austria,1986,35-54 years,Silent,182.0,941348.0,19.33,,99036165210.0,13911.0
1161,female,Austria,1986,5-14 years,Generation X,1.0,445322.0,0.22,,99036165210.0,13911.0
1162,female,Austria,1986,55-74 years,G.I. Generation,195.0,835145.0,23.35,,99036165210.0,13911.0
1163,female,Austria,1986,75+ years,G.I. Generation,110.0,345431.0,31.84,,99036165210.0,13911.0
1164,female,Austria,1987,15-24 years,Generation X,49.0,611922.0,8.01,,124168442860.0,17415.0
1165,female,Austria,1987,25-34 years,Boomers,62.0,573764.0,10.81,,124168442860.0,17415.0
1166,female,Austria,1987,35-54 years,Silent,155.0,947458.0,16.36,,124168442860.0,17415.0
1167,female,Austria,1987,5-14 years,Generation X,2.0,440140.0,0.45,,124168442860.0,17415.0
1168,female,Austria,1987,55-74 years,G.I. Generation,230.0,826662.0,27.82,,124168442860.0,17415.0
1169,female,Austria,1987,75+ years,G.I. Generation,126.0,352121.0,35.78,,124168442860.0,17415.0
1170,female,Austria,1988,15-24 years,Generation X,28.0,595218.0,4.7,,133339397080.0,18663.0
1171,female,Austria,1988,25-34 years,Boomers,61.0,589460.0,10.35,,133339397080.0,18663.0
1172,female,Austria,1988,35-54 years,Silent,144.0,955925.0,15.06,,133339397080.0,18663.0
1173,female,Austria,1988,5-14 years,Generation X,2.0,437734.0,0.46,,133339397080.0,18663.0
1174,female,Austria,1988,55-74 years,G.I. Generation,186.0,817219.0,22.76,,133339397080.0,18663.0
1175,female,Austria,1988,75+ years,G.I. Generation,108.0,359018.0,30.08,,133339397080.0,18663.0
1176,female,Austria,1989,15-24 years,Generation X,48.0,580616.0,8.27,,133105805928.0,18544.0
1177,female,Austria,1989,25-34 years,Boomers,65.0,607791.0,10.69,,133105805928.0,18544.0
1178,female,Austria,1989,35-54 years,Silent,156.0,967898.0,16.12,,133105805928.0,18544.0
1179,female,Austria,1989,5-14 years,Generation X,0.0,437116.0,0.0,,133105805928.0,18544.0
1180,female,Austria,1989,55-74 years,G.I. Generation,182.0,807459.0,22.54,,133105805928.0,18544.0
1181,female,Austria,1989,75+ years,G.I. Generation,134.0,364652.0,36.75,,133105805928.0,18544.0
1182,female,Austria,1990,15-24 years,Generation X,31.0,568627.0,5.45,794.0,166463386663.0,23020.0
1183,female,Austria,1990,25-34 years,Boomers,53.0,626994.0,8.45,794.0,166463386663.0,23020.0
1184,female,Austria,1990,35-54 years,Silent,150.0,984274.0,15.24,794.0,166463386663.0,23020.0
1185,female,Austria,1990,5-14 years,Generation X,2.0,437872.0,0.46,794.0,166463386663.0,23020.0
1186,female,Austria,1990,55-74 years,G.I. Generation,173.0,802079.0,21.57,794.0,166463386663.0,23020.0
1187,female,Austria,1990,75+ years,G.I. Generation,132.0,365227.0,36.14,794.0,166463386663.0,23020.0
1188,female,Austria,1991,15-24 years,Generation X,34.0,556831.0,6.11,,173794177725.0,23808.0
1189,female,Austria,1991,25-34 years,Boomers,49.0,644696.0,7.6,,173794177725.0,23808.0
1190,female,Austria,1991,35-54 years,Boomers,145.0,1006052.0,14.41,,173794177725.0,23808.0
1191,female,Austria,1991,5-14 years,Millenials,0.0,441774.0,0.0,,173794177725.0,23808.0
1192,female,Austria,1991,55-74 years,Silent,144.0,804082.0,17.91,,173794177725.0,23808.0
1193,female,Austria,1991,75+ years,G.I. Generation,98.0,358612.0,27.33,,173794177725.0,23808.0
1194,female,Austria,1992,15-24 years,Generation X,33.0,544520.0,6.06,,195078126346.0,26450.0
1195,female,Austria,1992,25-34 years,Boomers,50.0,660870.0,7.57,,195078126346.0,26450.0
1196,female,Austria,1992,35-54 years,Boomers,163.0,1031440.0,15.8,,195078126346.0,26450.0
1197,female,Austria,1992,5-14 years,Millenials,1.0,448804.0,0.22,,195078126346.0,26450.0
1198,female,Austria,1992,55-74 years,Silent,132.0,809987.0,16.3,,195078126346.0,26450.0
1199,female,Austria,1992,75+ years,G.I. Generation,98.0,348912.0,28.09,,195078126346.0,26450.0
1200,female,Austria,1993,15-24 years,Generation X,35.0,529287.0,6.61,,190379720927.0,25611.0
1201,female,Austria,1993,25-34 years,Boomers,54.0,673654.0,8.02,,190379720927.0,25611.0
1202,female,Austria,1993,35-54 years,Boomers,140.0,1054036.0,13.28,,190379720927.0,25611.0
1203,female,Austria,1993,5-14 years,Millenials,4.0,454929.0,0.88,,190379720927.0,25611.0
1204,female,Austria,1993,55-74 years,Silent,139.0,817689.0,17.0,,190379720927.0,25611.0
1205,female,Austria,1993,75+ years,G.I. Generation,88.0,339249.0,25.94,,190379720927.0,25611.0
1206,female,Austria,1994,15-24 years,Generation X,34.0,510791.0,6.66,,203535242742.0,27274.0
1207,female,Austria,1994,25-34 years,Boomers,58.0,679708.0,8.53,,203535242742.0,27274.0
1208,female,Austria,1994,35-54 years,Boomers,151.0,1064408.0,14.19,,203535242742.0,27274.0
1209,female,Austria,1994,5-14 years,Millenials,6.0,458807.0,1.31,,203535242742.0,27274.0
1210,female,Austria,1994,55-74 years,Silent,149.0,830130.0,17.95,,203535242742.0,27274.0
1211,female,Austria,1994,75+ years,G.I. Generation,93.0,335528.0,27.72,,203535242742.0,27274.0
1212,female,Austria,1995,15-24 years,Generation X,19.0,495368.0,3.84,815.0,241038283063.0,32237.0
1213,female,Austria,1995,25-34 years,Generation X,59.0,678262.0,8.7,815.0,241038283063.0,32237.0
1214,female,Austria,1995,35-54 years,Boomers,136.0,1065630.0,12.76,815.0,241038283063.0,32237.0
1215,female,Austria,1995,5-14 years,Millenials,0.0,460945.0,0.0,815.0,241038283063.0,32237.0
1216,female,Austria,1995,55-74 years,Silent,141.0,843210.0,16.72,815.0,241038283063.0,32237.0
1217,female,Austria,1995,75+ years,G.I. Generation,100.0,341098.0,29.32,815.0,241038283063.0,32237.0
1218,female,Austria,1996,15-24 years,Generation X,12.0,485090.0,2.47,,237250948791.0,31660.0
1219,female,Austria,1996,25-34 years,Generation X,53.0,672341.0,7.88,,237250948791.0,31660.0
1220,female,Austria,1996,35-54 years,Boomers,140.0,1070879.0,13.07,,237250948791.0,31660.0
1221,female,Austria,1996,5-14 years,Millenials,0.0,461711.0,0.0,,237250948791.0,31660.0
1222,female,Austria,1996,55-74 years,Silent,126.0,850049.0,14.82,,237250948791.0,31660.0
1223,female,Austria,1996,75+ years,G.I. Generation,112.0,351514.0,31.86,,237250948791.0,31660.0
1224,female,Austria,1997,15-24 years,Generation X,23.0,477550.0,4.82,,212790348405.0,28325.0
1225,female,Austria,1997,25-34 years,Generation X,48.0,663325.0,7.24,,212790348405.0,28325.0
1226,female,Austria,1997,35-54 years,Boomers,131.0,1084510.0,12.08,,212790348405.0,28325.0
1227,female,Austria,1997,5-14 years,Millenials,1.0,461121.0,0.22,,212790348405.0,28325.0
1228,female,Austria,1997,55-74 years,Silent,131.0,850056.0,15.41,,212790348405.0,28325.0
1229,female,Austria,1997,75+ years,G.I. Generation,83.0,363002.0,22.86,,212790348405.0,28325.0
1230,female,Austria,1998,15-24 years,Generation X,24.0,472685.0,5.08,,218259904402.0,28972.0
1231,female,Austria,1998,25-34 years,Generation X,45.0,649694.0,6.93,,218259904402.0,28972.0
1232,female,Austria,1998,35-54 years,Boomers,116.0,1103422.0,10.51,,218259904402.0,28972.0
1233,female,Austria,1998,5-14 years,Millenials,2.0,460861.0,0.43,,218259904402.0,28972.0
1234,female,Austria,1998,55-74 years,Silent,116.0,846818.0,13.7,,218259904402.0,28972.0
1235,female,Austria,1998,75+ years,G.I. Generation,79.0,374674.0,21.08,,218259904402.0,28972.0
1236,female,Austria,1999,15-24 years,Generation X,25.0,470179.0,5.32,,217185787343.0,28722.0
1237,female,Austria,1999,25-34 years,Generation X,37.0,633829.0,5.84,,217185787343.0,28722.0
1238,female,Austria,1999,35-54 years,Boomers,136.0,1123652.0,12.1,,217185787343.0,28722.0
1239,female,Austria,1999,5-14 years,Millenials,1.0,461473.0,0.22,,217185787343.0,28722.0
1240,female,Austria,1999,55-74 years,Silent,122.0,845401.0,14.43,,217185787343.0,28722.0
1241,female,Austria,1999,75+ years,G.I. Generation,108.0,385369.0,28.03,,217185787343.0,28722.0
1242,female,Austria,2000,15-24 years,Generation X,27.0,469025.0,5.76,836.0,196799778883.0,25922.0
1243,female,Austria,2000,25-34 years,Generation X,34.0,617481.0,5.51,836.0,196799778883.0,25922.0
1244,female,Austria,2000,35-54 years,Boomers,132.0,1149412.0,11.48,836.0,196799778883.0,25922.0
1245,female,Austria,2000,5-14 years,Millenials,4.0,461175.0,0.87,836.0,196799778883.0,25922.0
1246,female,Austria,2000,55-74 years,Silent,143.0,840225.0,17.02,836.0,196799778883.0,25922.0
1247,female,Austria,2000,75+ years,G.I. Generation,92.0,394864.0,23.3,836.0,196799778883.0,25922.0
1248,female,Austria,2001,15-24 years,Millenials,18.0,470456.0,3.83,,197337879195.0,25848.0
1249,female,Austria,2001,25-34 years,Generation X,41.0,600540.0,6.83,,197337879195.0,25848.0
1250,female,Austria,2001,35-54 years,Boomers,126.0,1177652.0,10.7,,197337879195.0,25848.0
1251,female,Austria,2001,5-14 years,Millenials,1.0,460720.0,0.22,,197337879195.0,25848.0
1252,female,Austria,2001,55-74 years,Silent,129.0,835836.0,15.43,,197337879195.0,25848.0
1253,female,Austria,2001,75+ years,Silent,93.0,404458.0,22.99,,197337879195.0,25848.0
1254,female,Austria,2002,15-24 years,Millenials,17.0,475095.0,3.58,,213377771504.0,27772.0
1255,female,Austria,2002,25-34 years,Generation X,30.0,583877.0,5.14,,213377771504.0,27772.0
1256,female,Austria,2002,35-54 years,Boomers,129.0,1197653.0,10.77,,213377771504.0,27772.0
1257,female,Austria,2002,5-14 years,Millenials,2.0,460277.0,0.43,,213377771504.0,27772.0
1258,female,Austria,2002,55-74 years,Silent,105.0,841432.0,12.48,,213377771504.0,27772.0
1259,female,Austria,2002,75+ years,Silent,80.0,410636.0,19.48,,213377771504.0,27772.0
1260,female,Austria,2003,15-24 years,Millenials,29.0,482866.0,6.01,,261695778781.0,33889.0
1261,female,Austria,2003,25-34 years,Generation X,32.0,567665.0,5.64,,261695778781.0,33889.0
1262,female,Austria,2003,35-54 years,Boomers,141.0,1213566.0,11.62,,261695778781.0,33889.0
1263,female,Austria,2003,5-14 years,Millenials,0.0,457342.0,0.0,,261695778781.0,33889.0
1264,female,Austria,2003,55-74 years,Silent,102.0,851030.0,11.99,,261695778781.0,33889.0
1265,female,Austria,2003,75+ years,Silent,84.0,412619.0,20.36,,261695778781.0,33889.0
1266,female,Austria,2004,15-24 years,Millenials,22.0,491309.0,4.48,,300904221505.0,38711.0
1267,female,Austria,2004,25-34 years,Generation X,26.0,554568.0,4.69,,300904221505.0,38711.0
1268,female,Austria,2004,35-54 years,Boomers,107.0,1231774.0,8.69,,300904221505.0,38711.0
1269,female,Austria,2004,5-14 years,Millenials,0.0,453574.0,0.0,,300904221505.0,38711.0
1270,female,Austria,2004,55-74 years,Silent,118.0,860913.0,13.71,,300904221505.0,38711.0
1271,female,Austria,2004,75+ years,Silent,73.0,416777.0,17.52,,300904221505.0,38711.0
1272,female,Austria,2005,15-24 years,Millenials,18.0,497688.0,3.62,853.0,315974418605.0,40367.0
1273,female,Austria,2005,25-34 years,Generation X,33.0,546238.0,6.04,853.0,315974418605.0,40367.0
